id,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U1969,5/22/2023,30.0,443.0,441.0,4053.0,PayPal
U626,11/27/2023,47.0,341.51,326.0,4122.0,Credit Card
U269,7/26/2023,33.0,19.96,339.0,1837.0,PayPal
U1678,11/29/2023,46.0,319.6,492.0,67.0,Credit Card
U1329,6/4/2023,35.0,441.98,919.0,4632.0,Bank Transfer
U2079,7/21/2023,47.0,446.45,963.0,4692.0,Bank Transfer
U1253,8/1/2023,27.0,62.16,245.0,1727.0,Crypto
U282,6/30/2023,45.0,159.41,943.0,2554.0,Credit Card
U775,11/19/2023,6.0,477.11,399.0,545.0,Crypto
U3348,3/9/2023,9.0,24.22,506.0,1637.0,Bank Transfer
U623,8/19/2023,40.0,203.26,157.0,4355.0,Bank Transfer
U285,10/13/2023,33.0,88.46,671.0,4165.0,Crypto
U688,5/21/2023,30.0,412.57,27.0,3508.0,Crypto
U3349,1/18/2023,5.0,459.37,675.0,1398.0,Crypto
U766,11/24/2023,5.0,251.17,585.0,2241.0,Credit Card
U2074,10/25/2023,0.0,318.49,333.0,817.0,Credit Card
U1489,7/27/2023,43.0,165.15,445.0,2161.0,PayPal
U1175,10/27/2023,20.0,95.59,971.0,1492.0,Bank Transfer
U1752,10/18/2023,10.0,421.51,4.0,4215.0,Crypto
U2808,5/22/2023,50.0,366.19,629.0,2886.0,Bank Transfer
U140,6/10/2023,11.0,94.32,114.0,4054.0,Bank Transfer
U283,2/17/2023,32.0,472.56,280.0,1757.0,Credit Card
U62,11/2/2023,28.0,379.7,883.0,3235.0,Bank Transfer
U1291,10/30/2023,12.0,387.29,340.0,1841.0,Credit Card
U1059,1/4/2023,50.0,257.88,623.0,997.0,Credit Card
U581,8/21/2023,27.0,116.33,726.0,429.0,Credit Card
U1693,3/5/2023,43.0,122.95,970.0,3924.0,Bank Transfer
U5,11/18/2023,18.0,34.26,376.0,4999.0,Credit Card
U1632,8/9/2023,18.0,484.2,379.0,3228.0,Bank Transfer
U59,2/21/2023,13.0,362.29,154.0,4077.0,Bank Transfer
U1222,8/4/2023,33.0,230.85,989.0,4180.0,PayPal
U986,6/28/2023,5.0,9.7,148.0,4094.0,Crypto
U84,1/25/2023,19.0,414.7,392.0,3551.0,Crypto
U1249,4/3/2023,47.0,112.6,530.0,329.0,PayPal
U3187,2/10/2023,14.0,192.0,885.0,1171.0,PayPal
U1914,2/11/2023,43.0,270.99,367.0,2396.0,PayPal
U344,4/8/2023,19.0,11.38,91.0,4836.0,Crypto
U3120,2/5/2023,49.0,13.85,99.0,1313.0,Bank Transfer
U562,4/9/2023,43.0,400.45,853.0,2825.0,Bank Transfer
U389,11/23/2023,18.0,320.81,908.0,3438.0,Crypto
U311,1/24/2023,48.0,363.9,660.0,4039.0,Credit Card
U652,5/30/2023,36.0,165.08,223.0,3405.0,Bank Transfer
U3203,4/7/2023,3.0,12.53,866.0,4713.0,Bank Transfer
U2940,5/11/2023,14.0,457.72,636.0,3745.0,PayPal
U3296,2/15/2023,7.0,205.46,394.0,830.0,Credit Card
U3185,10/4/2023,27.0,315.68,625.0,4759.0,Bank Transfer
U213,1/7/2023,29.0,89.39,436.0,414.0,Credit Card
U533,7/25/2023,28.0,143.1,448.0,3130.0,Credit Card
U1115,10/5/2023,35.0,340.73,230.0,1003.0,Bank Transfer
U1896,9/8/2023,15.0,247.98,57.0,2840.0,Bank Transfer
U2188,10/20/2023,31.0,490.63,266.0,2970.0,Credit Card
U923,10/28/2023,14.0,199.89,69.0,3931.0,PayPal
U157,10/24/2023,5.0,216.62,629.0,4381.0,PayPal
U1749,7/19/2023,15.0,251.91,22.0,1428.0,Credit Card
U1994,4/23/2023,30.0,314.56,537.0,2492.0,Bank Transfer
U1996,6/1/2023,14.0,375.8,591.0,3314.0,Bank Transfer
U1455,5/25/2023,8.0,432.83,574.0,4788.0,Crypto
U1278,8/24/2023,10.0,86.72,789.0,1570.0,PayPal
U1950,6/4/2023,43.0,425.87,28.0,485.0,Bank Transfer
U1335,7/16/2023,19.0,94.34,830.0,2679.0,Credit Card
U1280,6/18/2023,10.0,167.01,770.0,2206.0,Bank Transfer
U3050,9/17/2023,28.0,113.24,951.0,3394.0,Credit Card
U641,11/10/2023,33.0,95.56,740.0,4483.0,Bank Transfer
U2076,4/24/2023,35.0,369.79,264.0,4010.0,Credit Card
U3396,3/30/2023,6.0,132.37,142.0,1810.0,Credit Card
U295,7/7/2023,43.0,149.46,556.0,1795.0,Credit Card
U1333,7/1/2023,0.0,347.4,416.0,4232.0,Credit Card
U587,1/2/2023,12.0,335.28,315.0,1579.0,PayPal
U1086,8/22/2023,47.0,199.83,87.0,2613.0,Credit Card
U694,7/13/2023,17.0,80.28,724.0,3606.0,PayPal
U323,5/31/2023,16.0,42.44,382.0,1727.0,PayPal
U421,8/12/2023,3.0,86.78,184.0,2944.0,Crypto
U305,5/6/2023,36.0,248.32,850.0,1644.0,Credit Card
U554,1/15/2023,40.0,44.54,472.0,4664.0,Credit Card
U3013,8/19/2023,16.0,134.58,473.0,1808.0,Crypto
U3173,5/22/2023,32.0,385.89,661.0,4054.0,PayPal
U444,9/15/2023,36.0,140.92,89.0,2571.0,PayPal
U369,6/22/2023,44.0,144.3,723.0,1052.0,Crypto
U803,5/30/2023,25.0,454.72,122.0,2355.0,Crypto
U2966,12/1/2023,47.0,165.08,761.0,2331.0,Bank Transfer
U350,1/11/2023,26.0,18.76,807.0,701.0,Credit Card
U3339,2/2/2023,38.0,317.08,690.0,2910.0,Bank Transfer
U1751,10/7/2023,3.0,92.6,355.0,3190.0,Credit Card
U268,3/4/2023,7.0,134.8,757.0,3666.0,Bank Transfer
U802,9/14/2023,38.0,162.11,538.0,4067.0,Credit Card
U1097,4/13/2023,19.0,60.04,354.0,450.0,Bank Transfer
U3243,8/13/2023,50.0,50.24,452.0,4945.0,Bank Transfer
U1768,6/22/2023,45.0,44.64,697.0,2495.0,Bank Transfer
U1083,2/6/2023,38.0,336.13,796.0,566.0,Credit Card
U1851,2/1/2023,21.0,324.24,553.0,4154.0,PayPal
U1355,9/18/2023,33.0,33.03,434.0,4034.0,Bank Transfer
U966,11/12/2023,17.0,81.4,692.0,2988.0,PayPal
U1040,2/23/2023,22.0,444.69,366.0,1830.0,Crypto
U2111,10/31/2023,19.0,203.29,817.0,2542.0,Crypto
U1834,6/25/2023,0.0,259.26,973.0,3942.0,Credit Card
U1745,4/6/2023,48.0,404.07,457.0,105.0,Crypto
U568,3/16/2023,30.0,87.63,925.0,2569.0,PayPal
U1158,4/19/2023,40.0,171.26,375.0,2027.0,Crypto
U3160,8/30/2023,22.0,116.68,9.0,174.0,Credit Card
U3010,6/10/2023,15.0,254.14,693.0,3473.0,PayPal
U957,2/4/2023,17.0,154.83,850.0,4154.0,Crypto
U518,3/21/2023,30.0,470.45,161.0,4908.0,Credit Card
U1645,8/8/2023,21.0,351.98,637.0,4236.0,Crypto
U114,4/16/2023,34.0,57.74,814.0,3095.0,PayPal
U2191,1/28/2023,20.0,276.07,404.0,213.0,PayPal
U1517,2/9/2023,9.0,144.31,31.0,3433.0,PayPal
U1619,5/14/2023,26.0,53.89,908.0,1050.0,PayPal
U586,9/16/2023,5.0,166.96,1.0,2135.0,Crypto
U1204,11/20/2023,50.0,432.13,659.0,605.0,Credit Card
U1794,7/10/2023,21.0,385.72,266.0,3384.0,Bank Transfer
U611,10/28/2023,32.0,94.34,271.0,4805.0,Bank Transfer
U2878,7/15/2023,40.0,130.9,188.0,4844.0,Credit Card
U1033,1/13/2023,40.0,315.0,244.0,4928.0,Credit Card
U1732,1/1/2023,30.0,9.49,120.0,2839.0,Crypto
U1577,5/8/2023,24.0,467.74,350.0,1734.0,PayPal
U179,5/27/2023,50.0,333.83,677.0,532.0,PayPal
U3360,3/30/2023,20.0,469.43,731.0,1013.0,PayPal
U731,4/13/2023,1.0,222.41,585.0,2480.0,Credit Card
U515,2/26/2023,19.0,380.51,972.0,2485.0,Bank Transfer
U868,6/25/2023,23.0,250.82,252.0,4282.0,PayPal
U3006,11/3/2023,0.0,369.99,47.0,1430.0,Crypto
U362,8/25/2023,28.0,378.62,454.0,1455.0,PayPal
U125,10/15/2023,2.0,90.85,516.0,4017.0,Bank Transfer
U3052,5/9/2023,41.0,395.37,995.0,2196.0,Credit Card
