id,age,gender,country,sign_up_date,membership_level
U1327,67.0,Female,Canada,10/30/2019,Free
U301,37.0,Male,Germany,10/5/2017,Gold
U1647,65.0,Male,USA,7/20/2016,Free
U2307,35.0,Female,Germany,7/20/2017,Silver
U2092,47.0,Female,India,11/24/2018,Gold
U557,61.0,Female,Germany,6/19/2021,Gold
U1622,47.0,Male,UK,9/2/2021,Free
U2560,68.0,Male,Germany,4/16/2016,Silver
U2799,27.0,Male,Germany,5/13/2022,Platinum
U1228,59.0,Female,Canada,9/23/2018,Silver
U1315,44.0,Male,USA,6/3/2017,Gold
U1863,52.0,Female,Canada,3/15/2020,Free
U2566,26.0,Female,India,4/24/2019,Free
U126,38.0,Female,USA,1/19/2018,Silver
U1580,50.0,Female,Germany,3/26/2020,Gold
U2671,51.0,Male,Germany,5/17/2018,Platinum
U1291,61.0,Male,Germany,5/20/2015,Platinum
U428,38.0,Male,India,4/20/2018,Gold
U1440,26.0,Male,UK,3/31/2019,Gold
U1838,60.0,Male,Germany,11/5/2022,Free
U2004,45.0,Female,UK,8/10/2021,Silver
U1168,32.0,Female,Germany,7/14/2020,Silver
U1056,45.0,Female,India,7/17/2015,Gold
U455,28.0,Female,UK,9/10/2017,Platinum
U1363,53.0,Male,Germany,11/20/2016,Free
U6,48.0,Female,India,7/17/2018,Silver
U2602,43.0,Male,UK,1/17/2019,Platinum
U1418,54.0,Female,UK,9/6/2017,Gold
U1193,21.0,Male,Germany,6/17/2016,Platinum
U1665,18.0,Male,USA,3/9/2015,Platinum
U1923,19.0,Female,USA,2/26/2020,Gold
U2038,69.0,Female,Germany,4/17/2016,Free
U1925,26.0,Female,UK,12/11/2020,Gold
U657,55.0,Male,UK,6/16/2022,Free
U715,53.0,Female,,5/2/2020,Gold
U2250,39.0,Male,USA,9/1/2019,Gold
U1541,38.0,Male,Canada,10/31/2018,Platinum
U1694,64.0,Female,India,4/22/2016,Platinum
U2383,28.0,Male,Germany,12/12/2015,Gold
U1377,38.0,Female,Canada,7/1/2019,Gold
U785,28.0,Female,UK,2/25/2018,Silver
U2737,25.0,Male,Canada,6/5/2019,Platinum
U960,52.0,Female,USA,5/29/2018,Gold
U508,23.0,Male,Canada,9/11/2017,Silver
U2418,57.0,Female,Canada,8/28/2015,Silver
U479,31.0,Male,Canada,3/24/2018,Gold
