id,age,gender,country,sign_up_date,membership_level,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U1327,67.0,Female,Canada,10/30/2019,Free,3/11/2023,29.0,270.38,654.0,3115.0,Crypto
U301,37.0,Male,Germany,10/5/2017,Gold,3/5/2023,26.0,143.35,301.0,686.0,Crypto
U1647,65.0,Male,USA,7/20/2016,Free,1/6/2023,11.0,259.84,89.0,4346.0,Crypto
U2092,47.0,Female,India,11/24/2018,Gold,7/1/2023,24.0,148.61,299.0,3474.0,Crypto
U557,61.0,Female,Germany,6/19/2021,Gold,6/15/2023,40.0,196.67,647.0,3713.0,Credit Card
U1622,47.0,Male,UK,9/2/2021,Free,5/17/2023,3.0,385.26,774.0,330.0,Crypto
U1228,59.0,Female,Canada,9/23/2018,Silver,10/5/2023,22.0,267.26,189.0,1206.0,Credit Card
U1315,44.0,Male,USA,6/3/2017,Gold,8/30/2023,25.0,392.11,904.0,2923.0,Crypto
U1863,52.0,Female,Canada,3/15/2020,Free,5/11/2023,6.0,93.89,827.0,3234.0,PayPal
U126,38.0,Female,USA,1/19/2018,Silver,11/29/2023,30.0,472.55,888.0,2691.0,PayPal
U1580,50.0,Female,Germany,3/26/2020,Gold,11/3/2023,26.0,441.3,260.0,2522.0,Credit Card
U1291,61.0,Male,Germany,5/20/2015,Platinum,10/30/2023,12.0,387.29,340.0,1841.0,Credit Card
U428,38.0,Male,India,4/20/2018,Gold,8/8/2023,39.0,17.74,762.0,2210.0,PayPal
U1440,26.0,Male,UK,3/31/2019,Gold,9/3/2023,26.0,38.01,900.0,2197.0,PayPal
U1838,60.0,Male,Germany,11/5/2022,Free,3/14/2023,32.0,350.41,226.0,2488.0,Crypto
U2004,45.0,Female,UK,8/10/2021,Silver,11/3/2023,4.0,139.61,944.0,3414.0,Crypto
U1168,32.0,Female,Germany,7/14/2020,Silver,3/14/2023,26.0,141.03,533.0,4277.0,Credit Card
U1056,45.0,Female,India,7/17/2015,Gold,10/13/2023,37.0,91.56,898.0,2971.0,Bank Transfer
U455,28.0,Female,UK,9/10/2017,Platinum,4/22/2023,38.0,82.76,402.0,3846.0,Crypto
U1363,53.0,Male,Germany,11/20/2016,Free,4/8/2023,8.0,238.21,776.0,3974.0,PayPal
U6,48.0,Female,India,7/17/2018,Silver,4/22/2023,5.0,371.4,345.0,2729.0,Bank Transfer
U1418,54.0,Female,UK,9/6/2017,Gold,3/27/2023,18.0,446.09,170.0,1768.0,Crypto
U1193,21.0,Male,Germany,6/17/2016,Platinum,5/31/2023,12.0,273.66,438.0,4643.0,PayPal
U1665,18.0,Male,USA,3/9/2015,Platinum,5/18/2023,10.0,341.72,591.0,2742.0,Credit Card
U1923,19.0,Female,USA,2/26/2020,Gold,7/24/2023,26.0,233.44,408.0,2111.0,PayPal
U2038,69.0,Female,Germany,4/17/2016,Free,1/11/2023,10.0,324.84,522.0,3785.0,Bank Transfer
U1925,26.0,Female,UK,12/11/2020,Gold,3/16/2023,25.0,154.2,551.0,76.0,Bank Transfer
U657,55.0,Male,UK,6/16/2022,Free,5/4/2023,29.0,281.15,417.0,2999.0,Bank Transfer
U715,53.0,Female,,5/2/2020,Gold,3/6/2023,14.0,240.73,484.0,2692.0,PayPal
U1541,38.0,Male,Canada,10/31/2018,Platinum,7/20/2023,11.0,396.03,779.0,577.0,Crypto
U1694,64.0,Female,India,4/22/2016,Platinum,10/30/2023,2.0,422.69,641.0,1836.0,Credit Card
U1377,38.0,Female,Canada,7/1/2019,Gold,3/18/2023,28.0,68.77,87.0,3328.0,Crypto
U785,28.0,Female,UK,2/25/2018,Silver,6/2/2023,46.0,297.97,680.0,4658.0,Crypto
U960,52.0,Female,USA,5/29/2018,Gold,12/1/2023,18.0,13.46,503.0,1432.0,PayPal
U508,23.0,Male,Canada,9/11/2017,Silver,6/11/2023,2.0,190.61,374.0,3892.0,Bank Transfer
U479,31.0,Male,Canada,3/24/2018,Gold,6/16/2023,11.0,293.27,322.0,373.0,PayPal
U362,26.0,Female,UK,8/14/2019,Gold,8/25/2023,28.0,378.62,454.0,1455.0,PayPal
U1249,50.0,Male,UK,6/17/2019,Gold,4/3/2023,47.0,112.6,530.0,329.0,PayPal
U647,38.0,Female,Canada,2/25/2015,Platinum,2/13/2023,48.0,474.74,693.0,778.0,Crypto
U1451,63.0,Male,UK,10/15/2017,Free,9/13/2023,15.0,266.92,294.0,632.0,PayPal
U1836,25.0,Male,Canada,10/9/2016,Silver,7/29/2023,30.0,394.81,695.0,1406.0,Bank Transfer
U1714,22.0,Male,Canada,10/11/2020,Gold,6/10/2023,30.0,406.96,706.0,4962.0,Crypto
U622,61.0,Female,UK,5/4/2022,Free,10/23/2023,33.0,14.6,289.0,3228.0,Credit Card
U1125,29.0,Female,UK,7/1/2016,Platinum,4/15/2023,10.0,103.55,309.0,66.0,PayPal
U1737,54.0,Male,USA,4/5/2018,Free,10/16/2023,15.0,47.71,112.0,501.0,Bank Transfer
U1477,21.0,Female,UK,10/20/2015,Gold,8/4/2023,21.0,113.14,226.0,1489.0,Bank Transfer
U299,31.0,Male,Canada,6/1/2016,Free,10/10/2023,16.0,130.73,136.0,2515.0,Credit Card
U893,45.0,Male,Germany,9/14/2020,Silver,4/19/2023,50.0,325.03,218.0,3409.0,Bank Transfer
U196,67.0,Male,USA,5/30/2016,Gold,6/10/2023,21.0,291.15,356.0,1379.0,Credit Card
U679,49.0,Male,Germany,11/30/2022,Silver,11/7/2023,6.0,333.74,377.0,563.0,PayPal
U2104,32.0,Female,USA,10/29/2018,Gold,4/27/2023,18.0,99.63,354.0,312.0,Bank Transfer
U589,28.0,Male,India,4/13/2016,Platinum,7/17/2023,40.0,2.03,433.0,2930.0,PayPal
U1092,45.0,Female,USA,5/2/2020,Free,9/5/2023,44.0,215.52,785.0,4920.0,Bank Transfer
U678,21.0,Male,USA,9/9/2020,Platinum,1/18/2023,48.0,385.98,619.0,2390.0,Crypto
U1558,23.0,Female,UK,10/9/2018,Platinum,11/1/2023,10.0,208.3,549.0,3159.0,Crypto
U1505,30.0,Female,India,2/7/2015,Free,9/26/2023,6.0,403.06,269.0,553.0,PayPal
U791,70.0,Male,India,4/20/2017,Silver,3/17/2023,23.0,32.7,77.0,1080.0,Credit Card
U2086,37.0,Female,UK,5/14/2020,Gold,4/21/2023,6.0,384.79,129.0,2112.0,PayPal
U2096,58.0,Male,UK,7/11/2015,Gold,3/12/2023,39.0,272.63,248.0,4005.0,PayPal
U961,55.0,Female,USA,3/18/2022,Platinum,5/13/2023,9.0,23.18,830.0,3874.0,Bank Transfer
U949,68.0,Male,Germany,6/5/2020,Free,2/11/2023,38.0,18.0,506.0,121.0,Credit Card
U1980,20.0,Female,India,9/27/2022,Free,9/20/2023,48.0,397.5,545.0,377.0,PayPal
U525,26.0,Female,Germany,10/17/2020,Silver,3/18/2023,9.0,238.75,64.0,2365.0,Credit Card
U131,33.0,Female,India,2/18/2019,Gold,3/28/2023,30.0,156.68,370.0,1232.0,PayPal
U2196,23.0,Female,UK,2/29/2016,Gold,8/9/2023,32.0,416.55,927.0,409.0,Credit Card
U556,45.0,Male,Germany,7/10/2017,Silver,8/1/2023,21.0,346.63,82.0,4473.0,PayPal
U237,59.0,Male,USA,4/20/2019,Silver,3/28/2023,33.0,400.35,95.0,963.0,PayPal
U61,,Female,Canada,4/9/2018,Gold,4/18/2023,25.0,67.9,889.0,3595.0,Credit Card
U108,64.0,Female,India,2/1/2018,Silver,7/21/2023,27.0,261.36,158.0,3147.0,Credit Card
U1772,64.0,Male,India,3/8/2020,Free,4/21/2023,1.0,41.62,513.0,128.0,PayPal
